"E16","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E17","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E18","FBH","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E1W","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E2","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E20","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E3","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E4","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E5","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E6","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E7","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E77","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E8","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E9","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"E98","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC1A","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC1M","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC1N","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC1P","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC1R","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC1V","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC1Y","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC2A","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC2M","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC2N","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC2P","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC2R","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC2V","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC2Y","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC3A","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC3M","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC3N","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC3P","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC3R","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC3V","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
"EC4A","FLO","1","2024-08-01 10:49:03.66245","2024-08-01 10:49:03.66245","From PostgreSQL"
